Date,Open,High,Low,Adj Close,Volume
2021-01-04,131.04249572753906,136.52499389648438,129.625,130.84011840820312,56064000
2021-01-05,130.99749755859375,134.43499755859375,130.8699951171875,133.74607849121094,32276000
2021-01-06,132.22500610351562,132.4499969482422,125.86000061035156,125.86132049560547,58042400
2021-01-07,129.6750030517578,133.77749633789062,128.86500549316406,133.1399383544922,46148000
2021-01-08,133.625,134.2100067138672,130.4199981689453,132.4689483642578,29252800
2021-01-11,134.1875,139.61000061035156,133.625,135.90869140625,51834400
2021-01-12,137.52499389648438,137.5449981689453,133.4499969482422,134.54428100585938,29147600
2021-01-13,134.89999389648438,136.25,133.85000610351562,135.01319885253906,21002800
2021-01-14,135.75,135.99749755859375,131.80499267578125,131.70567321777344,28312000
2021-01-15,132.27999877929688,133.25250244140625,128.48500061035156,128.3058319091797,27778000
2021-01-19,130.16250610351562,130.94000244140625,128.44000244140625,129.95956420898438,22618800
2021-01-20,131.11749267578125,134.30499267578125,130.5675048828125,133.35693359375,25857200
2021-01-21,134.18499755859375,139.99249267578125,132.52999877929688,138.3631591796875,33778000
2021-01-22,137.39999389648438,138.41749572753906,136.2725067138672,136.816650390625,24682000
2021-01-25,137.8175048828125,138.28500366210938,132.36500549316406,136.2254638671875,25111200
2021-01-26,135.80499267578125,136.44749450683594,133.875,134.0503692626953,16398000
2021-01-27,132.3000030517578,132.32749938964844,127.9375,128.8870086669922,37127200
2021-01-28,129.96249389648438,133.3975067138672,129.60499572753906,130.216552734375,22831600
2021-01-29,130.75,133.34750366210938,129.11500549316406,129.60537719726562,27155200
2021-02-01,130.53250122070312,132.70750427246094,129.02749633789062,132.07235717773438,21720400
2021-02-02,133.9875030517578,135.72000122070312,132.85499572753906,135.2626190185547,22044000
2021-02-03,136.36000061035156,139.3175048828125,135.1649932861328,135.000732421875,24540800
2021-02-04,135.30999755859375,136.73500061035156,133.37750244140625,136.33522033691406,20134000
2021-02-05,137.25,137.37249755859375,135.45750427246094,135.6044158935547,16915200
2021-02-08,137.2725067138672,144.7375030517578,137.2725067138672,144.06283569335938,43462400
2021-02-09,143.40750122070312,145.83250427246094,142.22500610351562,142.31175231933594,28756000
2021-02-10,144.63250732421875,149.0500030517578,143.4149932861328,147.3104705810547,48535200
2021-02-11,149.80250549316406,152.72250366210938,149.25,152.16453552246094,45082800
2021-02-12,150.5,152.91250610351562,147.75,149.27606201171875,37475600
2021-02-16,150.6425018310547,153.72500610351562,149.5,152.95774841308594,32196000
2021-02-17,151.7100067138672,152.23500061035156,147.8000030517578,148.72482299804688,27475600
2021-02-18,147.2899932861328,148.7324981689453,145.75,147.95651245117188,23386800
2021-02-19,150.2449951171875,151.77000427246094,148.46749877929688,148.92933654785156,27172400
2021-02-22,147.74749755859375,151.33250427246094,143.25,143.23464965820312,32588400
2021-02-23,140.75250244140625,142.3874969482422,133.89500427246094,141.10198974609375,39178000
2021-02-24,141.2274932861328,145.0675048828125,137.55999755859375,144.66395568847656,44832000
2021-02-25,140.4550018310547,143.74749755859375,132.16250610351562,132.77572631835938,82443600
2021-02-26,137.52499389648438,138.5449981689453,133.61000061035156,136.83660888671875,50093200
2021-03-01,138.75,139.25,135.53250122070312,138.10623168945312,35318400
2021-03-02,139.0,139.2050018310547,133.9600067138672,133.7610321044922,26411600
2021-03-03,134.2624969482422,134.51499938964844,127.98750305175781,127.75955963134766,37759200
2021-03-04,128.00750732421875,129.75,120.8375015258789,123.42431640625,57334400
2021-03-05,125.5,125.5,116.7925033569336,124.33477783203125,54284000
2021-03-08,124.5,124.7125015258789,115.66500091552734,115.67179870605469,54311200
2021-03-09,121.30249786376953,126.1675033569336,120.59249877929688,124.96407318115234,52182400
2021-03-10,128.40499877929688,129.8000030517578,124.57499694824219,124.445068359375,38437600
2021-03-11,129.5,130.46249389648438,127.34500122070312,129.68756103515625,29991600
2021-03-12,126.48249816894531,128.8874969482422,125.9000015258789,128.31520080566406,24396400
2021-03-15,128.6475067138672,132.0675048828125,127.67250061035156,131.66131591796875,22198800
2021-03-16,133.56500244140625,135.125,131.16749572753906,132.65939331054688,27212800
2021-03-17,130.3975067138672,134.53250122070312,129.89500427246094,133.15847778320312,24386400
2021-03-18,131.36500549316406,131.83999633789062,127.16999816894531,126.98271942138672,29389600
2021-03-19,127.5,129.21499633789062,126.125,128.212890625,29920800
2021-03-22,129.12750244140625,133.94500732421875,129.0675048828125,131.61138916015625,29780400
2021-03-23,132.54249572753906,133.44500732421875,130.21249389648438,130.4585723876953,22204800
2021-03-24,131.5124969482422,131.59249877929688,126.36750030517578,126.18923950195312,24584000
2021-03-25,124.99500274658203,127.14749908447266,122.72000122070312,125.11378479003906,29514400
2021-03-26,125.54499816894531,128.5625,123.73500061035156,128.14801025390625,36396800
2021-03-29,128.20249938964844,130.625,127.0,129.2359161376953,27352000
2021-03-30,128.4199981689453,129.75250244140625,127.05000305175781,128.4723663330078,20020400
2021-03-31,130.15499877929688,134.7050018310547,129.8249969482422,133.22830200195312,31477600
2021-04-01,135.72250366210938,138.6999969482422,135.1125030517578,137.85447692871094,30827600
2021-04-05,138.6750030517578,140.13999938964844,137.3300018310547,139.608642578125,25567200
2021-04-06,139.99749755859375,140.54249572753906,137.73500061035156,138.35104370117188,19174400
2021-04-07,138.8074951171875,142.43499755859375,137.11500549316406,141.1656494140625,25128400
2021-04-08,142.52749633789062,144.71499633789062,142.49000549316406,142.89732360839844,24441600
2021-04-09,142.13999938964844,144.0800018310547,141.75,143.7257843017578,19517200
2021-04-12,142.8975067138672,153.52499389648438,141.3925018310547,151.80035400390625,86932400
2021-04-13,152.31500244140625,157.0,151.25750732421875,156.49639892578125,67621200
2021-04-14,156.25,157.2050018310547,152.27499389648438,152.47906494140625,38550000
2021-04-15,156.625,162.1425018310547,156.31500244140625,161.065185546875,59848000
2021-04-16,160.52999877929688,161.65750122070312,158.65249633789062,158.82196044921875,33520800
2021-04-19,155.36500549316406,158.0749969482422,152.3300018310547,153.32493591308594,40442000
2021-04-20,153.2324981689453,154.97000122070312,149.6300048828125,151.423583984375,33413200
2021-04-21,151.1875,153.625,151.0225067138672,153.3125,21677600
2021-04-22,153.75,154.38499450683594,147.8350067138672,148.2196807861328,27778800
2021-04-23,149.34249877929688,153.35000610351562,149.00250244140625,152.36178588867188,22750000
2021-04-26,151.85000610351562,154.7899932861328,151.25,154.48524475097656,19779600
